Function,RT,Violations,Cores
f1,1732.2,0,6688.3
f2,231.1,0,3718.6
f15,58.3,0,2178.4
f16,201.1,0,9290.7
f17,199.8,0,9699.9
f3,373.5,0,8994.8
f8,206.3,0,7623.0
f10,86.5,0,3637.4
f9,157.9,0,2474.3
f18,126.9,0,3055.4
f20,87.5,0,5707.9
f4,491.0,0,7011.3
f12,114.8,0,3455.0
f11,35.1,0,2527.3
f5,268.0,0,1790.2
f13,227.6,0,4020.4
f21,124.9,0,1562.7
f23,98.1,0,4094.0
f22,137.0,0,1997.3
f24,110.4,0,6980.8
f25,63.4,0,2717.6
f6,414.7,0,3577.2
f14,170.8,0,4695.7
f19,103.7,0,6617.7
f7,178.8,0,1625.1
